//---------------------------------------------------------------------------------------
// Description: 用于LCD,103,PRINT等进程配置内部描述
// Parameter:   1. 关键字
//              2. 中文描述
//              3. 英文描述
// Version:     R2.12
// 说明：描述之后紧跟分隔符',', 描述中可以有空格
//---------------------------------------------------------------------------------------
// LCD菜单显示
    QUICK_MENU,              快捷菜单,             QuickMenu,
    MAIN_MENU,               主菜单,               MainMenu,

// LCD主画面显示报告(要求一行能显示,长度有要求)
    TRIP_RPT,                装置动作,             Disturb,
    SELF_RPT,                装置自检报警信息,     Superv Events,
    BIN_RPT,                 装置变位,             IO Chg,

// LCD主画面状态量显示(要求一行能显示,长度有要求)
    IP_ADDR,                 地址,                 Addr,
    SETNO,                   区号,                 Group,

// LCD切换定值区号
    DZQ_QH,                  定值区切换请确认!,    Change Active Group: Please Confirm!,
    NO_MULTI_SETNO,          无多区定值组!,        No Multi-Group!,
    CHANGE_SETNO,            修改定值区号,         Change Active Group,
    CURRENT_SETNO,           当前区号:,            Active Group:,
    MODIFY_SETNO,            修改区号:,            Change to Group:,

// LCD整定定值
    INPUT_SETNO,             请选择整定区号,       Please Select Group for Config,
    EDIT_SETNO,              整定区号:,            Selected Group:,
    SAVE_HINT,               是否保存 ?,           Save or Not?,
    CONFIRM_YES,             是,                   Yes,
    CONFIRM_NO,              否,                   No,
    CONFIRM_CANCEL,          取消,                 Cancel,
    SAVE_SETTING_NOW,        正在保存定值...,      Saving Settings...,
    SAVE_SETTING_FAIL,       定值设置失败!,        Failed to Modify Settings!,
    CONFIRM_NOT_SAVE,        定值设置成功但未保存!, Settings Modified but Not Saved!,
    PRIMARY_VALUE,           一次,                 Primary,
    SECONDARY_VALUE,         二次,                 Secondary,
    CUR_VALUE,               当前值,               Current Value,
    MODIFY_VALUE,            修改值,               Modified Value,
    CONVT_VALUE,             16进制显示值,         HEX Value,
    MIN_VALUE,               最小值,               Min Value,
    MAX_VALUE,               最大值,               Max Value,
    SEL_VALUE,               可选值,               Select List,
    OUT_OF_RANGE,            定值越限,             Out of Range,

// LCD定值校验与定值项变化确认
    PARAMETER_ERR,           定值校验出错,         Settings CRC Error,
    PARAMETER_CONFIRM,       定值未确认,           Settings Not Confirmed,
    CONFIRM_SETTING,         定值确认,             Confirm Settings,

// LCD拷贝定值
    COPY_SETTING,            拷贝定值,             Copy Settings,
